model,step_to,mean_distance,n
deepseek14b,2,0.261989,822
deepseek14b,3,0.251966,801
deepseek14b,4,0.24291,759
deepseek14b,5,0.247311,645
deepseek14b,6,0.301484,345
deepseek14b,7,0.341567,222
deepseek14b,8,0.32453,150
deepseek14b,9,0.330652,111
deepseek14b,10,0.342403,93
deepseek14b,11,0.319075,63
deepseek14b,12,0.371518,54
deepseek14b,13,0.329805,42
deepseek14b,14,0.356331,39
deepseek14b,15,0.349713,33
deepseek14b,16,0.359842,27
deepseek14b,17,0.345192,24
deepseek14b,18,0.313804,24
deepseek14b,19,0.33428,15
deepseek14b,20,0.39934,12
deepseek14b,21,0.370337,12
deepseek14b,22,0.332393,9
deepseek14b,23,0.443762,9
deepseek14b,24,0.447813,6
deepseek14b,25,0.403141,6
deepseek14b,26,0.254808,6
deepseek14b,27,0.28671,6
deepseek14b,28,0.195296,6
deepseek14b,29,0.397351,6
deepseek14b,30,0.388688,6
deepseek14b,31,0.543755,3
deepseek14b,32,0.343418,3
deepseek14b,33,0.329793,3
deepseek14b,34,0.426779,3
deepseek14b,35,0.458906,3
deepseek14b,36,0.682218,3
deepseek14b,37,0.354497,3
deepseek14b_bf16,2,0.192672,25
deepseek14b_bf16,3,0.177345,24
deepseek14b_bf16,4,0.135725,24
deepseek14b_bf16,5,0.126159,23
deepseek14b_bf16,6,0.090762,2
deepseek32b,2,0.249216,822
deepseek32b,3,0.231437,801
deepseek32b,4,0.215839,759
deepseek32b,5,0.203808,645
deepseek32b,6,0.23618,345
deepseek32b,7,0.245408,222
deepseek32b,8,0.225652,150
deepseek32b,9,0.229682,111
deepseek32b,10,0.230404,93
deepseek32b,11,0.232343,63
deepseek32b,12,0.227437,54
deepseek32b,13,0.236273,42
deepseek32b,14,0.220916,39
deepseek32b,15,0.219311,33
deepseek32b,16,0.193901,27
deepseek32b,17,0.199186,24
deepseek32b,18,0.229487,24
deepseek32b,19,0.184186,15
deepseek32b,20,0.20991,12
deepseek32b,21,0.227755,12
deepseek32b,22,0.21614,9
deepseek32b,23,0.284355,9
deepseek32b,24,0.29552,6
deepseek32b,25,0.281304,6
deepseek32b,26,0.17023,6
deepseek32b,27,0.114403,6
deepseek32b,28,0.178716,6
deepseek32b,29,0.212566,6
deepseek32b,30,0.187083,6
deepseek32b,31,0.26607,3
deepseek32b,32,0.180763,3
deepseek32b,33,0.223647,3
deepseek32b,34,0.215413,3
deepseek32b,35,0.227011,3
deepseek32b,36,0.186072,3
deepseek32b,37,0.287225,3
deepseek7b,2,0.382078,822
deepseek7b,3,0.342794,801
deepseek7b,4,0.299502,759
deepseek7b,5,0.308446,645
deepseek7b,6,0.32952,345
deepseek7b,7,0.334963,222
deepseek7b,8,0.323477,150
deepseek7b,9,0.287786,111
deepseek7b,10,0.274128,93
deepseek7b,11,0.286609,63
deepseek7b,12,0.239357,54
deepseek7b,13,0.247242,42
deepseek7b,14,0.222517,39
deepseek7b,15,0.264939,33
deepseek7b,16,0.213278,27
deepseek7b,17,0.248297,24
deepseek7b,18,0.251674,24
deepseek7b,19,0.240351,15
deepseek7b,20,0.174933,12
deepseek7b,21,0.189071,12
deepseek7b,22,0.19537,9
deepseek7b,23,0.206285,9
deepseek7b,24,0.258199,6
deepseek7b,25,0.255684,6
deepseek7b,26,0.202056,6
deepseek7b,27,0.251267,6
deepseek7b,28,0.205007,6
deepseek7b,29,0.239603,6
deepseek7b,30,0.26874,6
deepseek7b,31,0.264702,3
deepseek7b,32,0.13968,3
deepseek7b,33,0.262868,3
deepseek7b,34,0.289124,3
deepseek7b,35,0.244371,3
deepseek7b,36,0.304694,3
deepseek7b,37,0.255138,3
qwen05b_vllm,2,0.618119,822
qwen05b_vllm,3,0.602931,801
qwen05b_vllm,4,0.569692,759
qwen05b_vllm,5,0.550354,645
qwen05b_vllm,6,0.623817,345
qwen05b_vllm,7,0.643898,222
qwen05b_vllm,8,0.664171,150
qwen05b_vllm,9,0.626489,111
qwen05b_vllm,10,0.646884,93
qwen05b_vllm,11,0.659789,63
