model,task,story_id,repetition,step_from,step_to,distance
deepseek14b,false_belief,fb001,1,1,2,0.127265
deepseek14b,false_belief,fb001,1,2,3,0.148338
deepseek14b,false_belief,fb001,1,3,4,0.057185
deepseek14b,false_belief,fb001,1,4,5,0.122811
deepseek14b,false_belief,fb001,2,1,2,0.279005
deepseek14b,false_belief,fb001,2,2,3,0.220187
deepseek14b,false_belief,fb001,2,3,4,0.102302
deepseek14b,false_belief,fb001,2,4,5,0.111315
deepseek14b,false_belief,fb001,3,1,2,0.193185
deepseek14b,false_belief,fb001,3,2,3,0.243459
deepseek14b,false_belief,fb001,3,3,4,0.140681
deepseek14b,false_belief,fb001,3,4,5,0.027208
deepseek14b,false_belief,fb002,1,1,2,0.177524
deepseek14b,false_belief,fb002,1,2,3,0.102879
deepseek14b,false_belief,fb002,1,3,4,0.084597
deepseek14b,false_belief,fb002,1,4,5,0.040643
deepseek14b,false_belief,fb002,1,5,6,0.115349
deepseek14b,false_belief,fb002,2,1,2,0.068831
deepseek14b,false_belief,fb002,2,2,3,0.075571
deepseek14b,false_belief,fb002,2,3,4,0.048541
deepseek14b,false_belief,fb002,2,4,5,0.132766
deepseek14b,false_belief,fb002,2,5,6,0.07317
deepseek14b,false_belief,fb002,3,1,2,0.055193
deepseek14b,false_belief,fb002,3,2,3,0.073578
deepseek14b,false_belief,fb002,3,3,4,0.161522
deepseek14b,false_belief,fb002,3,4,5,0.14525
deepseek14b,false_belief,fb002,3,5,6,0.099217
deepseek14b,false_belief,fb003,1,1,2,0.06144
deepseek14b,false_belief,fb003,1,2,3,0.105348
deepseek14b,false_belief,fb003,1,3,4,0.0443
deepseek14b,false_belief,fb003,1,4,5,0.133505
deepseek14b,false_belief,fb003,2,1,2,0.091994
deepseek14b,false_belief,fb003,2,2,3,0.123265
deepseek14b,false_belief,fb003,2,3,4,0.031575
deepseek14b,false_belief,fb003,2,4,5,0.041538
deepseek14b,false_belief,fb003,3,1,2,0.15878
deepseek14b,false_belief,fb003,3,2,3,0.184699
deepseek14b,false_belief,fb003,3,3,4,0.147967
deepseek14b,false_belief,fb003,3,4,5,0.062524
deepseek14b,false_belief,fb004,1,1,2,0.236308
deepseek14b,false_belief,fb004,1,2,3,0.140067
deepseek14b,false_belief,fb004,1,3,4,0.018419
deepseek14b,false_belief,fb004,1,4,5,0.040001
deepseek14b,false_belief,fb004,2,1,2,0.198727
deepseek14b,false_belief,fb004,2,2,3,0.190948
deepseek14b,false_belief,fb004,2,3,4,0.023859
deepseek14b,false_belief,fb004,2,4,5,0.107524
deepseek14b,false_belief,fb004,3,1,2,0.110903
deepseek14b,false_belief,fb004,3,2,3,0.117556
deepseek14b,false_belief,fb004,3,3,4,0.059014
deepseek14b,false_belief,fb004,3,4,5,0.124375
deepseek14b,false_belief,fb005,1,1,2,0.207486
deepseek14b,false_belief,fb005,1,2,3,0.189911
deepseek14b,false_belief,fb005,1,3,4,0.036427
deepseek14b,false_belief,fb005,1,4,5,0.065433
deepseek14b,false_belief,fb005,2,1,2,0.080312
deepseek14b,false_belief,fb005,2,2,3,0.19065
deepseek14b,false_belief,fb005,2,3,4,0.197195
deepseek14b,false_belief,fb005,2,4,5,0.159025
deepseek14b,false_belief,fb005,3,1,2,0.072551
deepseek14b,false_belief,fb005,3,2,3,0.258174
deepseek14b,false_belief,fb005,3,3,4,0.232738
deepseek14b,false_belief,fb005,3,4,5,0.054293
deepseek14b,false_belief,fb006,1,1,2,0.275291
deepseek14b,false_belief,fb006,1,2,3,0.134858
deepseek14b,false_belief,fb006,1,3,4,0.029917
deepseek14b,false_belief,fb006,1,4,5,0.147757
deepseek14b,false_belief,fb006,2,1,2,0.046171
deepseek14b,false_belief,fb006,2,2,3,0.110648
deepseek14b,false_belief,fb006,2,3,4,0.052371
deepseek14b,false_belief,fb006,2,4,5,0.056405
deepseek14b,false_belief,fb006,3,1,2,0.291617
deepseek14b,false_belief,fb006,3,2,3,0.302878
deepseek14b,false_belief,fb006,3,3,4,0.200799
deepseek14b,false_belief,fb006,3,4,5,0.066735
deepseek14b,false_belief,fb007,1,1,2,0.076479
deepseek14b,false_belief,fb007,1,2,3,0.18572
deepseek14b,false_belief,fb007,1,3,4,0.072399
deepseek14b,false_belief,fb007,1,4,5,0.070644
deepseek14b,false_belief,fb007,2,1,2,0.163577
deepseek14b,false_belief,fb007,2,2,3,0.135706
deepseek14b,false_belief,fb007,2,3,4,0.028747
deepseek14b,false_belief,fb007,2,4,5,0.064952
deepseek14b,false_belief,fb007,3,1,2,0.18126
deepseek14b,false_belief,fb007,3,2,3,0.235897
deepseek14b,false_belief,fb007,3,3,4,0.138107
deepseek14b,false_belief,fb007,3,4,5,0.080272
deepseek14b,false_belief,fb008,1,1,2,0.070628
deepseek14b,false_belief,fb008,1,2,3,0.066686
deepseek14b,false_belief,fb008,1,3,4,0.019367
deepseek14b,false_belief,fb008,1,4,5,0.056706
deepseek14b,false_belief,fb008,2,1,2,0.138634
deepseek14b,false_belief,fb008,2,2,3,0.114005
deepseek14b,false_belief,fb008,2,3,4,0.018023
deepseek14b,false_belief,fb008,2,4,5,0.11133
deepseek14b,false_belief,fb008,3,1,2,0.034206
deepseek14b,false_belief,fb008,3,2,3,0.058006
deepseek14b,false_belief,fb008,3,3,4,0.09755
deepseek14b,false_belief,fb008,3,4,5,0.045678
deepseek14b,false_belief,fb009,1,1,2,0.30212
deepseek14b,false_belief,fb009,1,2,3,0.115134
deepseek14b,false_belief,fb009,1,3,4,0.130674
deepseek14b,false_belief,fb009,2,1,2,0.137235
deepseek14b,false_belief,fb009,2,2,3,0.08011
deepseek14b,false_belief,fb009,2,3,4,0.135646
deepseek14b,false_belief,fb009,3,1,2,0.251782
deepseek14b,false_belief,fb009,3,2,3,0.135833
deepseek14b,false_belief,fb009,3,3,4,0.112188
deepseek14b,false_belief,fb010,1,1,2,0.049381
deepseek14b,false_belief,fb010,1,2,3,0.170326
deepseek14b,false_belief,fb010,1,3,4,0.165079
deepseek14b,false_belief,fb010,1,4,5,0.066281
deepseek14b,false_belief,fb010,2,1,2,0.114066
deepseek14b,false_belief,fb010,2,2,3,0.115399
deepseek14b,false_belief,fb010,2,3,4,0.117975
deepseek14b,false_belief,fb010,2,4,5,0.065731
deepseek14b,false_belief,fb010,3,1,2,0.229814
deepseek14b,false_belief,fb010,3,2,3,0.101094
deepseek14b,false_belief,fb010,3,3,4,0.042908
deepseek14b,false_belief,fb010,3,4,5,0.072305
deepseek14b,false_belief,fb011,1,1,2,0.252685
deepseek14b,false_belief,fb011,1,2,3,0.08991
deepseek14b,false_belief,fb011,1,3,4,0.063321
deepseek14b,false_belief,fb011,1,4,5,0.066606
deepseek14b,false_belief,fb011,2,1,2,0.06912
deepseek14b,false_belief,fb011,2,2,3,0.094944
deepseek14b,false_belief,fb011,2,3,4,0.14632
deepseek14b,false_belief,fb011,2,4,5,0.065798
deepseek14b,false_belief,fb011,3,1,2,0.286825
deepseek14b,false_belief,fb011,3,2,3,0.083542
deepseek14b,false_belief,fb011,3,3,4,0.179267
deepseek14b,false_belief,fb011,3,4,5,0.16109
deepseek14b,false_belief,fb012,1,1,2,0.136766
deepseek14b,false_belief,fb012,1,2,3,0.118793
deepseek14b,false_belief,fb012,1,3,4,0.055714
deepseek14b,false_belief,fb012,1,4,5,0.151576
deepseek14b,false_belief,fb012,2,1,2,0.170471
deepseek14b,false_belief,fb012,2,2,3,0.192738
deepseek14b,false_belief,fb012,2,3,4,0.029294
deepseek14b,false_belief,fb012,2,4,5,0.051123
deepseek14b,false_belief,fb012,3,1,2,0.260446
deepseek14b,false_belief,fb012,3,2,3,0.246144
deepseek14b,false_belief,fb012,3,3,4,0.109385
deepseek14b,false_belief,fb012,3,4,5,0.13365
deepseek14b,false_belief,fb013,1,1,2,0.139931
deepseek14b,false_belief,fb013,1,2,3,0.058599
deepseek14b,false_belief,fb013,1,3,4,0.055853
deepseek14b,false_belief,fb013,1,4,5,0.125161
deepseek14b,false_belief,fb013,2,1,2,0.307128
deepseek14b,false_belief,fb013,2,2,3,0.085175
deepseek14b,false_belief,fb013,2,3,4,0.153853
deepseek14b,false_belief,fb013,2,4,5,0.21424
deepseek14b,false_belief,fb013,3,1,2,0.166398
deepseek14b,false_belief,fb013,3,2,3,0.153496
deepseek14b,false_belief,fb013,3,3,4,0.072898
deepseek14b,false_belief,fb013,3,4,5,0.062656
deepseek14b,false_belief,fb014,1,1,2,0.21393
deepseek14b,false_belief,fb014,2,1,2,0.0591
deepseek14b,false_belief,fb014,3,1,2,0.160821
deepseek14b,false_belief,fb015,1,1,2,0.149044
deepseek14b,false_belief,fb015,1,2,3,0.197172
deepseek14b,false_belief,fb015,1,3,4,0.071792
deepseek14b,false_belief,fb015,1,4,5,0.199905
deepseek14b,false_belief,fb015,2,1,2,0.113444
deepseek14b,false_belief,fb015,2,2,3,0.187792
deepseek14b,false_belief,fb015,2,3,4,0.11749
deepseek14b,false_belief,fb015,2,4,5,0.035231
deepseek14b,false_belief,fb015,3,1,2,0.131192
deepseek14b,false_belief,fb015,3,2,3,0.294235
deepseek14b,false_belief,fb015,3,3,4,0.125098
deepseek14b,false_belief,fb015,3,4,5,0.037989
deepseek14b,false_belief,fb016,1,1,2,0.053528
deepseek14b,false_belief,fb016,1,2,3,0.106235
deepseek14b,false_belief,fb016,1,3,4,0.182581
deepseek14b,false_belief,fb016,1,4,5,0.141454
deepseek14b,false_belief,fb016,2,1,2,0.162169
deepseek14b,false_belief,fb016,2,2,3,0.164991
deepseek14b,false_belief,fb016,2,3,4,0.024024
deepseek14b,false_belief,fb016,2,4,5,0.100662
deepseek14b,false_belief,fb016,3,1,2,0.125865
deepseek14b,false_belief,fb016,3,2,3,0.130403
deepseek14b,false_belief,fb016,3,3,4,0.025585
deepseek14b,false_belief,fb016,3,4,5,0.172365
deepseek14b,false_belief,fb017,1,1,2,0.050346
deepseek14b,false_belief,fb017,1,2,3,0.068804
deepseek14b,false_belief,fb017,1,3,4,0.066758
deepseek14b,false_belief,fb017,1,4,5,0.042432
deepseek14b,false_belief,fb017,2,1,2,0.058905
deepseek14b,false_belief,fb017,2,2,3,0.037869
deepseek14b,false_belief,fb017,2,3,4,0.038875
deepseek14b,false_belief,fb017,2,4,5,0.040421
deepseek14b,false_belief,fb017,3,1,2,0.127536
deepseek14b,false_belief,fb017,3,2,3,0.097372
deepseek14b,false_belief,fb017,3,3,4,0.094531
deepseek14b,false_belief,fb017,3,4,5,0.142023
deepseek14b,false_belief,fb018,1,1,2,0.262182
deepseek14b,false_belief,fb018,1,2,3,0.21919
deepseek14b,false_belief,fb018,1,3,4,0.130228
deepseek14b,false_belief,fb018,1,4,5,0.04865
deepseek14b,false_belief,fb018,2,1,2,0.092627
deepseek14b,false_belief,fb018,2,2,3,0.073041
deepseek14b,false_belief,fb018,2,3,4,0.064347
deepseek14b,false_belief,fb018,2,4,5,0.15585
deepseek14b,false_belief,fb018,3,1,2,0.237768
deepseek14b,false_belief,fb018,3,2,3,0.108216
deepseek14b,false_belief,fb018,3,3,4,0.127495
deepseek14b,false_belief,fb018,3,4,5,0.126544
deepseek14b,false_belief,fb019,1,1,2,0.122636
deepseek14b,false_belief,fb019,1,2,3,0.154373
deepseek14b,false_belief,fb019,1,3,4,0.046211
deepseek14b,false_belief,fb019,1,4,5,0.038064
deepseek14b,false_belief,fb019,2,1,2,0.044077
deepseek14b,false_belief,fb019,2,2,3,0.115044
deepseek14b,false_belief,fb019,2,3,4,0.029902
deepseek14b,false_belief,fb019,2,4,5,0.067996
deepseek14b,false_belief,fb019,3,1,2,0.540329
deepseek14b,false_belief,fb019,3,2,3,0.175923
deepseek14b,false_belief,fb019,3,3,4,0.048571
deepseek14b,false_belief,fb019,3,4,5,0.083591
deepseek14b,false_belief,fb020,1,1,2,0.181613
deepseek14b,false_belief,fb020,1,2,3,0.089696
deepseek14b,false_belief,fb020,1,3,4,0.062327
deepseek14b,false_belief,fb020,1,4,5,0.201996
deepseek14b,false_belief,fb020,2,1,2,0.267087
deepseek14b,false_belief,fb020,2,2,3,0.13117
deepseek14b,false_belief,fb020,2,3,4,0.172053
deepseek14b,false_belief,fb020,2,4,5,0.134652
deepseek14b,false_belief,fb020,3,1,2,0.220523
deepseek14b,false_belief,fb020,3,2,3,0.102538
deepseek14b,false_belief,fb020,3,3,4,0.042452
deepseek14b,false_belief,fb020,3,4,5,0.038659
deepseek14b,false_belief,fb021,1,1,2,0.161945
deepseek14b,false_belief,fb021,1,2,3,0.092424
deepseek14b,false_belief,fb021,1,3,4,0.054615
deepseek14b,false_belief,fb021,1,4,5,0.028994
deepseek14b,false_belief,fb021,1,5,6,0.033735
deepseek14b,false_belief,fb021,2,1,2,0.120084
deepseek14b,false_belief,fb021,2,2,3,0.100919
deepseek14b,false_belief,fb021,2,3,4,0.066833
deepseek14b,false_belief,fb021,2,4,5,0.061428
deepseek14b,false_belief,fb021,2,5,6,0.045057
deepseek14b,false_belief,fb021,3,1,2,0.043025
deepseek14b,false_belief,fb021,3,2,3,0.098336
deepseek14b,false_belief,fb021,3,3,4,0.068481
deepseek14b,false_belief,fb021,3,4,5,0.056876
deepseek14b,false_belief,fb021,3,5,6,0.098449
deepseek14b,false_belief,fb022,1,1,2,0.198315
deepseek14b,false_belief,fb022,1,2,3,0.087738
deepseek14b,false_belief,fb022,1,3,4,0.018334
deepseek14b,false_belief,fb022,1,4,5,0.079183
deepseek14b,false_belief,fb022,2,1,2,0.316279
deepseek14b,false_belief,fb022,2,2,3,0.176664
deepseek14b,false_belief,fb022,2,3,4,0.132133
deepseek14b,false_belief,fb022,2,4,5,0.044683
deepseek14b,false_belief,fb022,3,1,2,0.154281
deepseek14b,false_belief,fb022,3,2,3,0.304669
deepseek14b,false_belief,fb022,3,3,4,0.058403
deepseek14b,false_belief,fb022,3,4,5,0.115737
deepseek14b,false_belief,fb023,1,1,2,0.227401
deepseek14b,false_belief,fb023,1,2,3,0.217322
deepseek14b,false_belief,fb023,1,3,4,0.026212
deepseek14b,false_belief,fb023,1,4,5,0.079596
deepseek14b,false_belief,fb023,1,5,6,0.122839
deepseek14b,false_belief,fb023,2,1,2,0.630286
deepseek14b,false_belief,fb023,2,2,3,0.193053
deepseek14b,false_belief,fb023,2,3,4,0.062871
deepseek14b,false_belief,fb023,2,4,5,0.175638
deepseek14b,false_belief,fb023,2,5,6,0.169975
deepseek14b,false_belief,fb023,3,1,2,0.559364
deepseek14b,false_belief,fb023,3,2,3,0.189964
deepseek14b,false_belief,fb023,3,3,4,0.050328
deepseek14b,false_belief,fb023,3,4,5,0.177821
deepseek14b,false_belief,fb023,3,5,6,0.144798
deepseek14b,false_belief,fb024,1,1,2,0.078301
deepseek14b,false_belief,fb024,1,2,3,0.110181
deepseek14b,false_belief,fb024,1,3,4,0.186576
deepseek14b,false_belief,fb024,2,1,2,0.106527
deepseek14b,false_belief,fb024,2,2,3,0.161227
