model_a,model_b,similarity
deepseek14b,deepseek14b_bf16,0.07367431876870494
deepseek14b,deepseek32b,0.675785966821619
deepseek14b,deepseek7b,0.6189146815119563
deepseek14b,qwen05b_vllm,0.4047443791217095
deepseek14b,qwen14b,0.4743172703562556
deepseek14b,qwen14b_bf16,0.17148905992507935
deepseek14b,qwen15b_vllm,0.47970897362038895
deepseek14b,qwen32b,0.524854521493654
deepseek14b,qwen7b,0.5540825271525899
deepseek14b_bf16,deepseek32b,0.10053010595341523
deepseek14b_bf16,deepseek7b,0.08815556609382232
deepseek14b_bf16,qwen05b_vllm,0.10604503192007542
deepseek14b_bf16,qwen14b,0.14021402473251024
deepseek14b_bf16,qwen14b_bf16,0.6220164696375529
deepseek14b_bf16,qwen15b_vllm,0.125795383627216
deepseek14b_bf16,qwen32b,0.08850621680418651
deepseek14b_bf16,qwen7b,0.07753550757964452
deepseek32b,deepseek7b,0.7240279808237746
deepseek32b,qwen05b_vllm,0.4538018236289153
deepseek32b,qwen14b,0.5555499034958917
deepseek32b,qwen14b_bf16,0.19933289320518574
deepseek32b,qwen15b_vllm,0.5226257805888718
deepseek32b,qwen32b,0.6190909026442347
deepseek32b,qwen7b,0.6802754740457277
deepseek7b,qwen05b_vllm,0.41190044018062383
deepseek7b,qwen14b,0.4952080801532075
deepseek7b,qwen14b_bf16,0.18652325061460337
deepseek7b,qwen15b_vllm,0.5008144048420159
deepseek7b,qwen32b,0.555309879618722
deepseek7b,qwen7b,0.6434569382989729
qwen05b_vllm,qwen14b,0.4672365240954064
qwen05b_vllm,qwen14b_bf16,0.22472839057445526
qwen05b_vllm,qwen15b_vllm,0.46328418631408663
qwen05b_vllm,qwen32b,0.43337113712285014
qwen05b_vllm,qwen7b,0.49200828762322263
qwen14b,qwen14b_bf16,0.2690688520669937
qwen14b,qwen15b_vllm,0.471041267788088
qwen14b,qwen32b,0.5777666488209287
qwen14b,qwen7b,0.5801532308797579
qwen14b_bf16,qwen15b_vllm,0.1668961476534605
qwen14b_bf16,qwen32b,0.2004974971835812
qwen14b_bf16,qwen7b,0.19321017091472945
qwen15b_vllm,qwen32b,0.47881000428586395
qwen15b_vllm,qwen7b,0.5203084265058106
qwen32b,qwen7b,0.629309193508045
