model,task,runs,regressions,regressed_runs,regression_rate,recoveries,final_correct,final_acc,never_correct
deepseek14b,false_belief,210,113,113,0.5381,280,188,0.8952,5
deepseek14b,faux_pas,30,2,2,0.0667,32,30,1.0,0
deepseek14b,implicature,600,226,213,0.355,339,222,0.37,283
deepseek14b_bf16,false_belief,20,0,0,0.0,18,20,1.0,0
deepseek14b_bf16,faux_pas,5,0,0,0.0,5,5,1.0,0
deepseek32b,false_belief,210,140,140,0.6667,313,196,0.9333,1
deepseek32b,faux_pas,30,2,2,0.0667,31,29,0.9667,0
deepseek32b,implicature,600,280,258,0.43,390,252,0.42,237
deepseek7b,false_belief,210,131,131,0.6238,177,54,0.2571,53
deepseek7b,faux_pas,30,4,4,0.1333,15,11,0.3667,17
deepseek7b,implicature,600,72,69,0.115,101,48,0.08,493
qwen05b_vllm,false_belief,210,71,71,0.3381,105,36,0.1714,103
qwen05b_vllm,faux_pas,30,2,2,0.0667,2,0,0.0,28
qwen05b_vllm,implicature,600,28,27,0.045,32,10,0.0167,564
qwen14b,false_belief,210,16,16,0.0762,191,190,0.9048,4
qwen14b,faux_pas,30,0,0,0.0,30,30,1.0,0
qwen14b,implicature,600,115,114,0.19,262,256,0.4267,230
qwen14b_bf16,false_belief,20,1,1,0.05,19,19,0.95,0
qwen14b_bf16,faux_pas,5,0,0,0.0,5,5,1.0,0
qwen15b_vllm,false_belief,210,108,108,0.5143,167,71,0.3381,31
qwen15b_vllm,faux_pas,30,6,6,0.2,11,5,0.1667,19
qwen15b_vllm,implicature,600,62,62,0.1033,83,30,0.05,508
qwen32b,false_belief,210,3,3,0.0143,194,207,0.9857,0
qwen32b,faux_pas,30,0,0,0.0,30,30,1.0,0
qwen32b,implicature,600,126,126,0.21,209,223,0.3717,251
qwen7b,false_belief,210,26,26,0.1238,181,178,0.8476,6
qwen7b,faux_pas,30,3,3,0.1,27,24,0.8,3
qwen7b,implicature,600,159,158,0.2633,256,215,0.3583,240
