model,task,story_id,repetition,emergence_point
deepseek14b,false_belief,fb001,1,1.0
deepseek14b,false_belief,fb001,2,2.0
deepseek14b,false_belief,fb001,3,2.0
deepseek14b,false_belief,fb002,1,1.0
deepseek14b,false_belief,fb002,2,1.0
deepseek14b,false_belief,fb002,3,1.0
deepseek14b,false_belief,fb003,1,1.0
deepseek14b,false_belief,fb003,2,1.0
deepseek14b,false_belief,fb003,3,1.0
deepseek14b,false_belief,fb004,1,1.0
deepseek14b,false_belief,fb004,2,2.0
deepseek14b,false_belief,fb004,3,2.0
deepseek14b,false_belief,fb005,1,2.0
deepseek14b,false_belief,fb005,2,3.0
deepseek14b,false_belief,fb005,3,2.0
deepseek14b,false_belief,fb006,1,2.0
deepseek14b,false_belief,fb006,2,1.0
deepseek14b,false_belief,fb006,3,1.0
deepseek14b,false_belief,fb007,1,2.0
deepseek14b,false_belief,fb007,2,1.0
deepseek14b,false_belief,fb007,3,1.0
deepseek14b,false_belief,fb008,1,1.0
deepseek14b,false_belief,fb008,2,1.0
deepseek14b,false_belief,fb008,3,1.0
deepseek14b,false_belief,fb009,1,2.0
deepseek14b,false_belief,fb009,2,1.0
deepseek14b,false_belief,fb009,3,1.0
deepseek14b,false_belief,fb010,1,1.0
deepseek14b,false_belief,fb010,2,1.0
deepseek14b,false_belief,fb010,3,2.0
deepseek14b,false_belief,fb011,1,1.0
deepseek14b,false_belief,fb011,2,1.0
deepseek14b,false_belief,fb011,3,1.0
deepseek14b,false_belief,fb012,1,3.0
deepseek14b,false_belief,fb012,2,3.0
deepseek14b,false_belief,fb012,3,2.0
deepseek14b,false_belief,fb013,1,1.0
deepseek14b,false_belief,fb013,2,1.0
deepseek14b,false_belief,fb013,3,2.0
deepseek14b,false_belief,fb014,1,1.0
deepseek14b,false_belief,fb014,2,1.0
deepseek14b,false_belief,fb014,3,1.0
deepseek14b,false_belief,fb015,1,1.0
deepseek14b,false_belief,fb015,2,1.0
deepseek14b,false_belief,fb015,3,2.0
deepseek14b,false_belief,fb016,1,2.0
deepseek14b,false_belief,fb016,2,2.0
deepseek14b,false_belief,fb016,3,1.0
deepseek14b,false_belief,fb017,1,1.0
deepseek14b,false_belief,fb017,2,1.0
deepseek14b,false_belief,fb017,3,1.0
deepseek14b,false_belief,fb018,1,3.0
deepseek14b,false_belief,fb018,2,1.0
deepseek14b,false_belief,fb018,3,2.0
deepseek14b,false_belief,fb019,1,1.0
deepseek14b,false_belief,fb019,2,1.0
deepseek14b,false_belief,fb019,3,2.0
deepseek14b,false_belief,fb020,1,3.0
deepseek14b,false_belief,fb020,2,3.0
deepseek14b,false_belief,fb020,3,2.0
deepseek14b,false_belief,fb021,1,1.0
deepseek14b,false_belief,fb021,2,1.0
deepseek14b,false_belief,fb021,3,1.0
deepseek14b,false_belief,fb022,1,1.0
deepseek14b,false_belief,fb022,2,2.0
deepseek14b,false_belief,fb022,3,3.0
deepseek14b,false_belief,fb023,1,3.0
deepseek14b,false_belief,fb023,2,2.0
deepseek14b,false_belief,fb023,3,1.0
deepseek14b,false_belief,fb024,1,1.0
deepseek14b,false_belief,fb024,2,1.0
deepseek14b,false_belief,fb024,3,1.0
deepseek14b,false_belief,fb025,1,2.0
deepseek14b,false_belief,fb025,2,3.0
deepseek14b,false_belief,fb025,3,3.0
deepseek14b,false_belief,fb026,1,2.0
deepseek14b,false_belief,fb026,2,2.0
deepseek14b,false_belief,fb026,3,2.0
deepseek14b,false_belief,fb027,1,2.0
deepseek14b,false_belief,fb027,2,2.0
deepseek14b,false_belief,fb027,3,1.0
deepseek14b,false_belief,fb028,1,2.0
deepseek14b,false_belief,fb028,2,1.0
deepseek14b,false_belief,fb028,3,2.0
deepseek14b,false_belief,fb029,1,1.0
deepseek14b,false_belief,fb029,2,1.0
deepseek14b,false_belief,fb029,3,1.0
deepseek14b,false_belief,fb030,1,1.0
deepseek14b,false_belief,fb030,2,1.0
deepseek14b,false_belief,fb030,3,1.0
deepseek14b,false_belief,fb031,1,3.0
deepseek14b,false_belief,fb031,2,4.0
deepseek14b,false_belief,fb031,3,2.0
deepseek14b,false_belief,fb032,1,2.0
deepseek14b,false_belief,fb032,2,1.0
deepseek14b,false_belief,fb032,3,2.0
deepseek14b,false_belief,fb033,1,2.0
deepseek14b,false_belief,fb033,2,2.0
deepseek14b,false_belief,fb033,3,3.0
deepseek14b,false_belief,fb034,1,2.0
deepseek14b,false_belief,fb034,2,1.0
deepseek14b,false_belief,fb034,3,1.0
deepseek14b,false_belief,fb035,1,1.0
deepseek14b,false_belief,fb035,2,2.0
deepseek14b,false_belief,fb035,3,1.0
deepseek14b,false_belief,fb036,1,1.0
deepseek14b,false_belief,fb036,2,1.0
deepseek14b,false_belief,fb036,3,2.0
deepseek14b,false_belief,fb037,1,2.0
deepseek14b,false_belief,fb037,2,1.0
deepseek14b,false_belief,fb037,3,2.0
deepseek14b,false_belief,fb038,1,2.0
deepseek14b,false_belief,fb038,2,2.0
deepseek14b,false_belief,fb038,3,3.0
deepseek14b,false_belief,fb039,1,1.0
deepseek14b,false_belief,fb039,2,1.0
deepseek14b,false_belief,fb039,3,2.0
deepseek14b,false_belief,fb040,1,3.0
deepseek14b,false_belief,fb040,2,2.0
deepseek14b,false_belief,fb040,3,2.0
deepseek14b,false_belief,fb041,1,2.0
deepseek14b,false_belief,fb041,2,2.0
deepseek14b,false_belief,fb041,3,3.0
deepseek14b,false_belief,fb042,1,3.0
deepseek14b,false_belief,fb042,2,2.0
deepseek14b,false_belief,fb042,3,4.0
deepseek14b,false_belief,fb043,1,4.0
deepseek14b,false_belief,fb043,2,3.0
deepseek14b,false_belief,fb043,3,2.0
deepseek14b,false_belief,fb044,1,2.0
deepseek14b,false_belief,fb044,2,2.0
deepseek14b,false_belief,fb044,3,1.0
deepseek14b,false_belief,fb045,1,2.0
deepseek14b,false_belief,fb045,2,2.0
deepseek14b,false_belief,fb045,3,3.0
deepseek14b,false_belief,fb046,1,1.0
deepseek14b,false_belief,fb046,2,1.0
deepseek14b,false_belief,fb046,3,1.0
deepseek14b,false_belief,fb047,1,1.0
deepseek14b,false_belief,fb047,2,1.0
deepseek14b,false_belief,fb047,3,1.0
deepseek14b,false_belief,fb048,1,3.0
deepseek14b,false_belief,fb048,2,3.0
deepseek14b,false_belief,fb048,3,5.0
deepseek14b,false_belief,fb049,1,2.0
deepseek14b,false_belief,fb049,2,1.0
deepseek14b,false_belief,fb049,3,1.0
deepseek14b,false_belief,fb050,1,1.0
deepseek14b,false_belief,fb050,2,1.0
deepseek14b,false_belief,fb050,3,2.0
deepseek14b,false_belief,fb051,1,2.0
deepseek14b,false_belief,fb051,2,3.0
deepseek14b,false_belief,fb051,3,1.0
deepseek14b,false_belief,fb052,1,2.0
deepseek14b,false_belief,fb052,2,1.0
deepseek14b,false_belief,fb052,3,1.0
deepseek14b,false_belief,fb053,1,1.0
deepseek14b,false_belief,fb053,2,1.0
deepseek14b,false_belief,fb053,3,1.0
deepseek14b,false_belief,fb054,1,2.0
deepseek14b,false_belief,fb054,2,2.0
deepseek14b,false_belief,fb054,3,2.0
deepseek14b,false_belief,fb055,1,3.0
deepseek14b,false_belief,fb055,2,2.0
deepseek14b,false_belief,fb055,3,3.0
deepseek14b,false_belief,fb056,1,2.0
deepseek14b,false_belief,fb056,2,1.0
deepseek14b,false_belief,fb056,3,1.0
deepseek14b,false_belief,fb057,1,4.0
deepseek14b,false_belief,fb057,2,2.0
deepseek14b,false_belief,fb057,3,2.0
deepseek14b,false_belief,fb058,1,1.0
deepseek14b,false_belief,fb058,2,1.0
deepseek14b,false_belief,fb058,3,1.0
deepseek14b,false_belief,fb059,1,2.0
deepseek14b,false_belief,fb059,2,1.0
deepseek14b,false_belief,fb059,3,3.0
deepseek14b,false_belief,fb060,1,2.0
deepseek14b,false_belief,fb060,2,2.0
deepseek14b,false_belief,fb060,3,2.0
deepseek14b,false_belief,sfp011,1,2.0
deepseek14b,false_belief,sfp011,2,
deepseek14b,false_belief,sfp011,3,2.0
deepseek14b,false_belief,sfp012,1,2.0
deepseek14b,false_belief,sfp012,2,3.0
deepseek14b,false_belief,sfp012,3,1.0
deepseek14b,false_belief,sfp013,1,1.0
deepseek14b,false_belief,sfp013,2,2.0
deepseek14b,false_belief,sfp013,3,3.0
deepseek14b,false_belief,sfp014,1,
deepseek14b,false_belief,sfp014,2,
deepseek14b,false_belief,sfp014,3,1.0
deepseek14b,false_belief,sfp015,1,2.0
