model,step_to,mean_distance,n
deepseek14b,2,0.284853,822
deepseek14b,3,0.274055,801
deepseek14b,4,0.257187,759
deepseek14b,5,0.257127,645
deepseek14b,6,0.328436,345
deepseek14b,7,0.356645,222
deepseek14b,8,0.355285,150
deepseek14b,9,0.337409,111
deepseek14b,10,0.346856,93
deepseek14b,11,0.322761,63
deepseek14b,12,0.42756,54
deepseek14b,13,0.367103,42
deepseek14b,14,0.397528,39
deepseek14b,15,0.374924,33
deepseek14b,16,0.36292,27
deepseek14b,17,0.356163,24
deepseek14b,18,0.360201,24
deepseek14b,19,0.402422,15
deepseek14b,20,0.415046,12
deepseek14b,21,0.34376,12
deepseek14b,22,0.383696,9
deepseek14b,23,0.474058,9
deepseek14b,24,0.355445,6
deepseek14b,25,0.382451,6
deepseek14b,26,0.245706,6
deepseek14b,27,0.342071,6
deepseek14b,28,0.375326,6
deepseek14b,29,0.490621,6
deepseek14b,30,0.456044,6
deepseek14b,31,0.285777,3
deepseek14b,32,0.305234,3
deepseek14b,33,0.327016,3
deepseek14b,34,0.379538,3
deepseek14b,35,0.273966,3
deepseek14b,36,0.210864,3
deepseek14b,37,0.230258,3
deepseek32b,2,0.243445,822
deepseek32b,3,0.226464,801
deepseek32b,4,0.209855,759
deepseek32b,5,0.197696,645
deepseek32b,6,0.237625,345
deepseek32b,7,0.256065,222
deepseek32b,8,0.229548,150
deepseek32b,9,0.243547,111
deepseek32b,10,0.226398,93
deepseek32b,11,0.213621,63
deepseek32b,12,0.225177,54
deepseek32b,13,0.221733,42
deepseek32b,14,0.218973,39
deepseek32b,15,0.19199,33
deepseek32b,16,0.185617,27
deepseek32b,17,0.166746,24
deepseek32b,18,0.200066,24
deepseek32b,19,0.165172,15
deepseek32b,20,0.190712,12
deepseek32b,21,0.199661,12
deepseek32b,22,0.218804,9
deepseek32b,23,0.282712,9
deepseek32b,24,0.339855,6
deepseek32b,25,0.27852,6
deepseek32b,26,0.145621,6
deepseek32b,27,0.137408,6
deepseek32b,28,0.188075,6
deepseek32b,29,0.237837,6
deepseek32b,30,0.196041,6
deepseek32b,31,0.17074,3
deepseek32b,32,0.237508,3
deepseek32b,33,0.248396,3
deepseek32b,34,0.22228,3
deepseek32b,35,0.179883,3
deepseek32b,36,0.221423,3
deepseek32b,37,0.213158,3
deepseek7b,2,0.402389,822
deepseek7b,3,0.367122,801
deepseek7b,4,0.321424,759
deepseek7b,5,0.30928,645
deepseek7b,6,0.343916,345
deepseek7b,7,0.338703,222
deepseek7b,8,0.329892,150
deepseek7b,9,0.297156,111
deepseek7b,10,0.260105,93
deepseek7b,11,0.259198,63
deepseek7b,12,0.229253,54
deepseek7b,13,0.238482,42
deepseek7b,14,0.241839,39
deepseek7b,15,0.28918,33
deepseek7b,16,0.300299,27
deepseek7b,17,0.225407,24
deepseek7b,18,0.237593,24
deepseek7b,19,0.226652,15
deepseek7b,20,0.210743,12
deepseek7b,21,0.229844,12
deepseek7b,22,0.192938,9
deepseek7b,23,0.186751,9
deepseek7b,24,0.241111,6
deepseek7b,25,0.169372,6
deepseek7b,26,0.219982,6
deepseek7b,27,0.31041,6
deepseek7b,28,0.21612,6
deepseek7b,29,0.271376,6
deepseek7b,30,0.294923,6
deepseek7b,31,0.331077,3
deepseek7b,32,0.193866,3
deepseek7b,33,0.253016,3
deepseek7b,34,0.211967,3
deepseek7b,35,0.238686,3
deepseek7b,36,0.306679,3
deepseek7b,37,0.200157,3
