model,task,story_id,repetition,step_from,step_to,distance
deepseek14b,false_belief,fb001,1,1,2,0.137109
deepseek14b,false_belief,fb001,1,2,3,0.234234
deepseek14b,false_belief,fb001,1,3,4,0.068561
deepseek14b,false_belief,fb001,1,4,5,0.102022
deepseek14b,false_belief,fb001,2,1,2,0.208647
deepseek14b,false_belief,fb001,2,2,3,0.19539
deepseek14b,false_belief,fb001,2,3,4,0.044079
deepseek14b,false_belief,fb001,2,4,5,0.054657
deepseek14b,false_belief,fb001,3,1,2,0.308441
deepseek14b,false_belief,fb001,3,2,3,0.290935
deepseek14b,false_belief,fb001,3,3,4,0.142808
deepseek14b,false_belief,fb001,3,4,5,0.076619
deepseek14b,false_belief,fb002,1,1,2,0.120533
deepseek14b,false_belief,fb002,1,2,3,0.073014
deepseek14b,false_belief,fb002,1,3,4,0.042128
deepseek14b,false_belief,fb002,1,4,5,0.047663
deepseek14b,false_belief,fb002,1,5,6,0.124337
deepseek14b,false_belief,fb002,2,1,2,0.065249
deepseek14b,false_belief,fb002,2,2,3,0.068041
deepseek14b,false_belief,fb002,2,3,4,0.049376
deepseek14b,false_belief,fb002,2,4,5,0.15636
deepseek14b,false_belief,fb002,2,5,6,0.121028
deepseek14b,false_belief,fb002,3,1,2,0.085447
deepseek14b,false_belief,fb002,3,2,3,0.060257
deepseek14b,false_belief,fb002,3,3,4,0.15167
deepseek14b,false_belief,fb002,3,4,5,0.185939
deepseek14b,false_belief,fb002,3,5,6,0.060339
deepseek14b,false_belief,fb003,1,1,2,0.083404
deepseek14b,false_belief,fb003,1,2,3,0.07342
deepseek14b,false_belief,fb003,1,3,4,0.040101
deepseek14b,false_belief,fb003,1,4,5,0.152869
deepseek14b,false_belief,fb003,2,1,2,0.093008
deepseek14b,false_belief,fb003,2,2,3,0.113144
deepseek14b,false_belief,fb003,2,3,4,0.032476
deepseek14b,false_belief,fb003,2,4,5,0.065625
deepseek14b,false_belief,fb003,3,1,2,0.228772
deepseek14b,false_belief,fb003,3,2,3,0.266477
deepseek14b,false_belief,fb003,3,3,4,0.020972
deepseek14b,false_belief,fb003,3,4,5,0.16599
deepseek14b,false_belief,fb004,1,1,2,0.096825
deepseek14b,false_belief,fb004,1,2,3,0.164399
deepseek14b,false_belief,fb004,1,3,4,0.018721
deepseek14b,false_belief,fb004,1,4,5,0.124715
deepseek14b,false_belief,fb004,2,1,2,0.16575
deepseek14b,false_belief,fb004,2,2,3,0.110343
deepseek14b,false_belief,fb004,2,3,4,0.037133
deepseek14b,false_belief,fb004,2,4,5,0.137142
deepseek14b,false_belief,fb004,3,1,2,0.12297
deepseek14b,false_belief,fb004,3,2,3,0.117556
deepseek14b,false_belief,fb004,3,3,4,0.040779
deepseek14b,false_belief,fb004,3,4,5,0.098293
deepseek14b,false_belief,fb005,1,1,2,0.493824
deepseek14b,false_belief,fb005,1,2,3,0.197093
deepseek14b,false_belief,fb005,1,3,4,0.074562
deepseek14b,false_belief,fb005,1,4,5,0.065243
deepseek14b,false_belief,fb005,2,1,2,0.108355
deepseek14b,false_belief,fb005,2,2,3,0.216905
deepseek14b,false_belief,fb005,2,3,4,0.172601
deepseek14b,false_belief,fb005,2,4,5,0.12325
deepseek14b,false_belief,fb005,3,1,2,0.068445
deepseek14b,false_belief,fb005,3,2,3,0.164549
deepseek14b,false_belief,fb005,3,3,4,0.051078
deepseek14b,false_belief,fb005,3,4,5,0.045616
deepseek14b,false_belief,fb006,1,1,2,0.28313
deepseek14b,false_belief,fb006,1,2,3,0.140461
deepseek14b,false_belief,fb006,1,3,4,0.034039
deepseek14b,false_belief,fb006,1,4,5,0.188747
deepseek14b,false_belief,fb006,2,1,2,0.053467
deepseek14b,false_belief,fb006,2,2,3,0.118924
deepseek14b,false_belief,fb006,2,3,4,0.039328
deepseek14b,false_belief,fb006,2,4,5,0.044906
deepseek14b,false_belief,fb006,3,1,2,0.073147
deepseek14b,false_belief,fb006,3,2,3,0.313097
deepseek14b,false_belief,fb006,3,3,4,0.178974
deepseek14b,false_belief,fb006,3,4,5,0.065756
deepseek14b,false_belief,fb007,1,1,2,0.326897
deepseek14b,false_belief,fb007,1,2,3,0.193645
deepseek14b,false_belief,fb007,1,3,4,0.06951
deepseek14b,false_belief,fb007,1,4,5,0.04896
deepseek14b,false_belief,fb007,2,1,2,0.211798
deepseek14b,false_belief,fb007,2,2,3,0.186123
deepseek14b,false_belief,fb007,2,3,4,0.038157
deepseek14b,false_belief,fb007,2,4,5,0.0629
deepseek14b,false_belief,fb007,3,1,2,0.117757
deepseek14b,false_belief,fb007,3,2,3,0.122819
deepseek14b,false_belief,fb007,3,3,4,0.095486
deepseek14b,false_belief,fb007,3,4,5,0.075437
deepseek14b,false_belief,fb008,1,1,2,0.086617
deepseek14b,false_belief,fb008,1,2,3,0.075266
deepseek14b,false_belief,fb008,1,3,4,0.022318
deepseek14b,false_belief,fb008,1,4,5,0.046511
deepseek14b,false_belief,fb008,2,1,2,0.10346
deepseek14b,false_belief,fb008,2,2,3,0.089789
deepseek14b,false_belief,fb008,2,3,4,0.028996
deepseek14b,false_belief,fb008,2,4,5,0.060285
deepseek14b,false_belief,fb008,3,1,2,0.040125
deepseek14b,false_belief,fb008,3,2,3,0.049164
deepseek14b,false_belief,fb008,3,3,4,0.098958
deepseek14b,false_belief,fb008,3,4,5,0.037383
deepseek14b,false_belief,fb009,1,1,2,0.378834
deepseek14b,false_belief,fb009,1,2,3,0.099624
deepseek14b,false_belief,fb009,1,3,4,0.104149
deepseek14b,false_belief,fb009,2,1,2,0.121861
deepseek14b,false_belief,fb009,2,2,3,0.081296
deepseek14b,false_belief,fb009,2,3,4,0.197164
deepseek14b,false_belief,fb009,3,1,2,0.236453
deepseek14b,false_belief,fb009,3,2,3,0.11257
deepseek14b,false_belief,fb009,3,3,4,0.110941
deepseek14b,false_belief,fb010,1,1,2,0.16446
deepseek14b,false_belief,fb010,1,2,3,0.16444
deepseek14b,false_belief,fb010,1,3,4,0.071821
deepseek14b,false_belief,fb010,1,4,5,0.203343
deepseek14b,false_belief,fb010,2,1,2,0.165294
deepseek14b,false_belief,fb010,2,2,3,0.159026
deepseek14b,false_belief,fb010,2,3,4,0.072949
deepseek14b,false_belief,fb010,2,4,5,0.037552
deepseek14b,false_belief,fb010,3,1,2,0.260009
deepseek14b,false_belief,fb010,3,2,3,0.156248
deepseek14b,false_belief,fb010,3,3,4,0.039898
deepseek14b,false_belief,fb010,3,4,5,0.072305
deepseek14b,false_belief,fb011,1,1,2,0.122743
deepseek14b,false_belief,fb011,1,2,3,0.187644
deepseek14b,false_belief,fb011,1,3,4,0.061541
deepseek14b,false_belief,fb011,1,4,5,0.076472
deepseek14b,false_belief,fb011,2,1,2,0.101224
deepseek14b,false_belief,fb011,2,2,3,0.114656
deepseek14b,false_belief,fb011,2,3,4,0.152782
deepseek14b,false_belief,fb011,2,4,5,0.084193
deepseek14b,false_belief,fb011,3,1,2,0.140295
deepseek14b,false_belief,fb011,3,2,3,0.168608
deepseek14b,false_belief,fb011,3,3,4,0.082445
deepseek14b,false_belief,fb011,3,4,5,0.13024
deepseek14b,false_belief,fb012,1,1,2,0.329315
deepseek14b,false_belief,fb012,1,2,3,0.19014
deepseek14b,false_belief,fb012,1,3,4,0.058954
deepseek14b,false_belief,fb012,1,4,5,0.032817
deepseek14b,false_belief,fb012,2,1,2,0.244456
deepseek14b,false_belief,fb012,2,2,3,0.186477
deepseek14b,false_belief,fb012,2,3,4,0.077972
deepseek14b,false_belief,fb012,2,4,5,0.049499
deepseek14b,false_belief,fb012,3,1,2,0.220739
deepseek14b,false_belief,fb012,3,2,3,0.22475
deepseek14b,false_belief,fb012,3,3,4,0.090603
deepseek14b,false_belief,fb012,3,4,5,0.056569
deepseek14b,false_belief,fb013,1,1,2,0.191819
