model,task,story_id,repetition,stability
deepseek14b,false_belief,fb001,1,0.13548171520233154
deepseek14b,false_belief,fb001,2,0.1256931573152542
deepseek14b,false_belief,fb001,3,0.2047007977962494
deepseek14b,false_belief,fb002,1,0.08153504133224487
deepseek14b,false_belief,fb002,2,0.09201080799102783
deepseek14b,false_belief,fb002,3,0.10873061418533325
deepseek14b,false_belief,fb003,1,0.08744850754737854
deepseek14b,false_belief,fb003,2,0.07606329023838043
deepseek14b,false_belief,fb003,3,0.17055320739746094
deepseek14b,false_belief,fb004,1,0.10116498172283173
deepseek14b,false_belief,fb004,2,0.1125921905040741
deepseek14b,false_belief,fb004,3,0.09489938616752625
deepseek14b,false_belief,fb005,1,0.20768046379089355
deepseek14b,false_belief,fb005,2,0.15527763962745667
deepseek14b,false_belief,fb005,3,0.08242222666740417
deepseek14b,false_belief,fb006,1,0.1615941822528839
deepseek14b,false_belief,fb006,2,0.06415638327598572
deepseek14b,false_belief,fb006,3,0.15774326026439667
deepseek14b,false_belief,fb007,1,0.15975283086299896
deepseek14b,false_belief,fb007,2,0.1247444897890091
deepseek14b,false_belief,fb007,3,0.10287481546401978
deepseek14b,false_belief,fb008,1,0.05767786502838135
deepseek14b,false_belief,fb008,2,0.07063238322734833
deepseek14b,false_belief,fb008,3,0.05640712380409241
deepseek14b,false_belief,fb009,1,0.19420234362284342
deepseek14b,false_belief,fb009,2,0.13344027598698935
deepseek14b,false_belief,fb009,3,0.1533215045928955
deepseek14b,false_belief,fb010,1,0.15101581811904907
deepseek14b,false_belief,fb010,2,0.10870534181594849
deepseek14b,false_belief,fb010,3,0.13211515545845032
deepseek14b,false_belief,fb011,1,0.1121000200510025
deepseek14b,false_belief,fb011,2,0.11321355402469635
deepseek14b,false_belief,fb011,3,0.13039688766002655
deepseek14b,false_belief,fb012,1,0.1528063863515854
deepseek14b,false_belief,fb012,2,0.13960105180740356
deepseek14b,false_belief,fb012,3,0.1481652408838272
deepseek14b,false_belief,fb013,1,0.11760829389095306
deepseek14b,false_belief,fb013,2,0.10798300802707672
deepseek14b,false_belief,fb013,3,0.1261921525001526
deepseek14b,false_belief,fb014,1,0.2230536937713623
deepseek14b,false_belief,fb014,2,0.08299106359481812
deepseek14b,false_belief,fb014,3,0.338828980922699
deepseek14b,false_belief,fb015,1,0.07072000205516815
deepseek14b,false_belief,fb015,2,0.11012908816337585
deepseek14b,false_belief,fb015,3,0.24643489718437195
deepseek14b,false_belief,fb016,1,0.0814511626958847
deepseek14b,false_belief,fb016,2,0.12647093832492828
deepseek14b,false_belief,fb016,3,0.13356024026870728
deepseek14b,false_belief,fb017,1,0.06041613221168518
deepseek14b,false_belief,fb017,2,0.08446013927459717
deepseek14b,false_belief,fb017,3,0.1456398069858551
deepseek14b,false_belief,fb018,1,0.13909810781478882
deepseek14b,false_belief,fb018,2,0.08108651638031006
deepseek14b,false_belief,fb018,3,0.11292964220046997
deepseek14b,false_belief,fb019,1,0.11080089211463928
deepseek14b,false_belief,fb019,2,0.08027659356594086
deepseek14b,false_belief,fb019,3,0.25743256881833076
deepseek14b,false_belief,fb020,1,0.14951778948307037
deepseek14b,false_belief,fb020,2,0.18670837581157684
deepseek14b,false_belief,fb020,3,0.1240944117307663
deepseek14b,false_belief,fb021,1,0.06278513669967652
deepseek14b,false_belief,fb021,2,0.07023544311523437
deepseek14b,false_belief,fb021,3,0.08476892709732056
deepseek14b,false_belief,fb022,1,0.11573323607444763
deepseek14b,false_belief,fb022,2,0.13777917623519897
deepseek14b,false_belief,fb022,3,0.17097556591033936
deepseek14b,false_belief,fb023,1,0.34164928197860717
deepseek14b,false_belief,fb023,2,0.1931580424308777
deepseek14b,false_belief,fb023,3,0.10362588167190552
deepseek14b,false_belief,fb024,1,0.12483535210291545
deepseek14b,false_belief,fb024,2,0.13515718777974448
deepseek14b,false_belief,fb024,3,0.13219151894251505
deepseek14b,false_belief,fb025,1,0.11251728236675262
deepseek14b,false_belief,fb025,2,0.1539430171251297
deepseek14b,false_belief,fb025,3,0.19267538189888
deepseek14b,false_belief,fb026,1,0.1546961466471354
deepseek14b,false_belief,fb026,2,0.11764452854792277
deepseek14b,false_belief,fb026,3,0.19966763257980347
deepseek14b,false_belief,fb027,1,0.09098225831985474
deepseek14b,false_belief,fb027,2,0.13960814476013184
deepseek14b,false_belief,fb027,3,0.09735564390818278
deepseek14b,false_belief,fb028,1,0.11883141100406647
deepseek14b,false_belief,fb028,2,0.14566192030906677
deepseek14b,false_belief,fb028,3,0.21405036747455597
deepseek14b,false_belief,fb029,1,0.12854263186454773
deepseek14b,false_belief,fb029,2,0.07390066981315613
deepseek14b,false_belief,fb029,3,0.1149912178516388
deepseek14b,false_belief,fb030,1,0.12640440464019775
deepseek14b,false_belief,fb030,2,0.09017445147037506
deepseek14b,false_belief,fb030,3,0.11181323230266571
deepseek14b,false_belief,fb031,1,0.14522674679756165
deepseek14b,false_belief,fb031,2,0.1623738557100296
deepseek14b,false_belief,fb031,3,0.1100362092256546
deepseek14b,false_belief,fb032,1,0.1672193557024002
deepseek14b,false_belief,fb032,2,0.08786867558956146
deepseek14b,false_belief,fb032,3,0.11460615694522858
deepseek14b,false_belief,fb033,1,0.10175159573554993
deepseek14b,false_belief,fb033,2,0.1214776337146759
deepseek14b,false_belief,fb033,3,0.07229042053222656
deepseek14b,false_belief,fb034,1,0.16029763221740723
deepseek14b,false_belief,fb034,2,0.11611153185367584
deepseek14b,false_belief,fb034,3,0.09006501734256744
deepseek14b,false_belief,fb035,1,0.07839411497116089
deepseek14b,false_belief,fb035,2,0.11402621865272522
deepseek14b,false_belief,fb035,3,0.0950397402048111
deepseek14b,false_belief,fb036,1,0.087412428855896
deepseek14b,false_belief,fb036,2,0.08567357063293457
deepseek14b,false_belief,fb036,3,0.1865724265575409
deepseek14b,false_belief,fb037,1,0.07416921854019165
deepseek14b,false_belief,fb037,2,0.13003896176815033
deepseek14b,false_belief,fb037,3,0.11137928068637848
deepseek14b,false_belief,fb038,1,0.0742843747138977
deepseek14b,false_belief,fb038,2,0.1222458928823471
deepseek14b,false_belief,fb038,3,0.18842869997024536
deepseek14b,false_belief,fb039,1,0.07430608570575714
deepseek14b,false_belief,fb039,2,0.12738379836082458
deepseek14b,false_belief,fb039,3,0.15303504467010498
